date,gdp_log_d4,cons_log_d4,inv_log_d4,inv_cap_log_d4
2011-04-01,0.03240919405077136,0.05470676627367688,0.19717276624683322,0.06415432960325695
2011-07-01,0.049376310943909374,0.07931229620345093,0.16913729450167558,0.08165146425084302
2011-10-01,0.050311935993427426,0.08156611238659828,0.13394584754254346,0.11286691405660498
2012-01-01,0.055431162029234926,0.0765361036039689,0.09494555101110969,0.11843727407673299
2012-04-01,0.04737169756615778,0.07396652973199025,0.07807378522873876,0.07630032387674746
2012-07-01,0.034288095882759606,0.07176885121567622,0.04652977463133823,0.0659110725398655
2012-10-01,0.02382148775361337,0.07109976509545035,0.004576990956280724,0.027782202594876182
2013-01-01,0.011252749941267126,0.0516703676931769,0.004413735382067685,0.05128245039999868
2013-04-01,0.01707639473735867,0.05466553271242347,-0.06785101854787712,0.03628789490253226
2013-07-01,0.014991158167083185,0.05631115332631076,-0.08802481319874289,0.0016554052750237247
2013-10-01,0.025145489762431694,0.038611286310530346,-0.05008858460720589,0.008971310943373112
2014-01-01,-0.0004613168192744155,0.035901632905304126,-0.16803853692767845,-0.0012627728558314288
2014-04-01,0.005549170017623339,0.019924739776985945,-0.0894095742688048,-0.02662168997986747
2014-07-01,0.013962748826276794,0.012022119681528665,-0.005859368691019995,-0.03789475514081886
2014-10-01,0.009244592903598914,0.016399045854775807,-0.021639368446319196,-0.01618491442635772
2015-01-01,-0.015380131275261277,-0.07756740837676546,-0.21553740535220633,-0.04420798647796609
2015-04-01,-0.031375972542162955,-0.09907704618330904,-0.21943865875609347,-0.11607755803735564
2015-07-01,-0.017143720571439758,-0.1019954791320945,-0.054326592710721044,-0.14634130004345636
2015-10-01,-0.016102049105347405,-0.11730869519844944,-0.053128447568301596,-0.1161941005595768
2016-01-01,-0.0020602457571854416,-0.030282741460714746,0.02423888018881115,-0.10352940786484766
2016-04-01,0.0032089404396966614,-0.028645669135249463,-0.006305170093693135,-0.01169969211972166
2016-07-01,0.0005910156216124562,-0.03252000050600223,-0.050543012996845604,0.01658442536098015
2016-10-01,0.005372383289712346,-0.013136167458831949,0.01871880181232477,0.06671548256758975
2017-01-01,0.013018699731903283,0.015908441263613682,0.05480902749312122,0.10199192121728551
2017-04-01,0.023149096888266385,0.03780422751801282,0.1416473598804835,0.08970728257366112
2017-07-01,0.02604140620002049,0.04469718633734665,0.07213704619213956,0.046162710231172355
2017-10-01,0.010355387292053209,0.04597759249396027,-0.01035310793917077,0.0013764340025055333
2018-01-01,0.025310321165102678,0.042558718495916636,0.00848165694540981,0.05585434410276413
2018-04-01,0.026927770485814406,0.04550722453481093,-0.05411321202614161,-0.017554643816312776
2018-07-01,0.025999102669571172,0.03822727417198735,-0.02437497925590648,0.07831718998238912
2018-10-01,0.03187792496693298,0.04105511140686957,0.009069730122602593,-0.04819065235513165
2019-01-01,0.013804940596818582,0.038748507544022814,-0.1703687013239712,-0.00704489855047008
2019-04-01,0.013497771409163306,0.03682788256843139,0.003703141186695902,0.03974285884678608
2019-07-01,0.027309901377423174,0.03769492232651572,0.04612365383179551,-0.017756491458024826
2019-10-01,0.030245048735148217,0.03535657650570734,0.13330532136524376,0.018300427840019395
2020-01-01,0.015012752656309303,0.052816196058252274,-0.025140615380545128,-0.021831523541099074
2020-04-01,-0.07600424834783404,-0.22018902236274762,-0.08303833629918955,-0.08477217992033026
2020-07-01,-0.03388008734987302,-0.058539817602309085,-0.12450771958174478,-0.07951812483134191
2020-10-01,-0.01313014565280568,-0.034190304475854916,0.043514881259236304,-0.00023623146498152892
2021-01-01,0.010020716542532782,-0.024625863327997877,0.16799638489974633,0.048742616562382324
2021-04-01,0.10814144934383663,0.2532894118888578,0.1661370318888018,0.12324799905688977
2021-07-01,0.05075603907762627,0.09117729670974484,0.09009425412446426,0.09346796421652215
2021-10-01,0.0578095108881751,0.0701109743595989,0.1497772360613272,0.08436696922804288
2022-01-01,0.03319992545845807,0.0661588687855943,-0.026036745006473794,0.12734975900523438
2022-04-01,-0.037734900293299845,-0.03235462078096596,-0.1628894150365383,0.06402716600155678
2022-07-01,-0.029830812314092015,-0.037250543197332675,0.13943252777857573,0.08697722986015144
2022-10-01,-0.019359964454563894,-0.01860621343884361,0.04114145344651021,0.04220957207902032
2023-01-01,-0.008918173275663577,0.0022882411855871254,0.19453839103127102,0.06662811581648498
2023-04-01,0.05191767730025276,0.09729255140934434,0.2604409297557879,0.13974577768340168
2023-07-01,0.059870514286613385,0.10657591162335045,0.0936175301588218,0.059643436850686626
2023-10-01,0.05154673485676042,0.07994788599090796,0.19790901562408791,0.050040653191572915
2024-01-01,0.05216783191457708,0.06788523984046613,-0.07468602334347274,0.09006259920161952
2024-04-01,0.042093586866583266,0.052055074330732864,-0.014705864065893692,0.03816096030335103
2024-07-01,0.032553434483345356,0.0499440243198066,0.08334232508372708,0.07570303150034263
2024-10-01,0.04431647041960751,0.042483443268109156,0.033708014333535985,0.04401886636718011
2025-01-01,0.013420955310813554,0.029999019665238436,0.01889413514994409,0.0817323264780061
2025-04-01,0.010457464572134256,0.031277238143379904,0.0009957648490193094,0.010440946439940646
